ofs,nom,canton,district,prix_m2_appart,prix_m2_median,n_annonces,fiabilite,prix_source,prix_date,pop_80plus,part_80plus,indice_pouvoir_achat,revenu_median_est
5631,Denens,Vaud,Morges,15113.0,15113.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,44.0,5.9,52.7,63052.0
5585,Jouxtens-Mézery,Vaud,Lausanne,14662.0,14662.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,102.0,6.9,68.5,72500.0
5601,Chexbres,Vaud,Lavaux-Oron,14645.0,12778.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,232.0,10.3,41.5,58334.0
6635,Presinge,Genève,Genève,14497.0,13714.0,7,solide (5+),Homegate/Apify (annonces réelles),2026.0,64.0,9.0,25.2,43334.0
5852,Bursinel,Vaud,Nyon,14495.0,14495.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,18.0,3.4,57.2,65949.0
5653,Vufflens-le-Château,Vaud,Morges,14471.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,54.0,6.5,76.2,81390.0
5650,Vaux-sur-Morges,Vaud,Morges,14471.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,13.0,7.0,55.2,56667.0
5628,Chigny,Vaud,Morges,14471.0,14471.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,7.0,1.7,49.5,58855.0
6608,Carouge (GE),Genève,Genève,14238.0,13949.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,1093.0,4.9,28.5,46345.0
5606,Lutry,Vaud,Lavaux-Oron,14210.0,13865.0,16,solide (5+),Homegate/Apify (annonces réelles),2026.0,871.0,8.1,67.3,65281.0
5857,Gilly,Vaud,Nyon,13875.0,11198.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,51.0,3.5,64.3,73011.0
6628,Lancy,Genève,Genève,13844.0,14330.0,8,solide (5+),Homegate/Apify (annonces réelles),2026.0,1942.0,5.2,20.1,50992.0
6644,Versoix,Genève,Genève,13734.0,12436.0,23,solide (5+),Homegate/Apify (annonces réelles),2026.0,757.0,5.4,17.0,45502.0
5882,Chardonne,Vaud,Riviera-Pays-d'Enhaut,13634.0,12034.0,9,solide (5+),Homegate/Apify (annonces réelles),2026.0,244.0,7.3,44.4,61625.0
6641,Troinex,Genève,Genève,13540.0,13284.0,5,solide (5+),Homegate/Apify (annonces réelles),2026.0,151.0,4.8,38.7,55597.0
5702,Arzier-Le Muids,Vaud,Nyon,13456.0,11278.0,10,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,97.0,3.3,45.1,57357.0
5633,Echandens,Vaud,Morges,13381.0,13381.0,2,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,216.0,7.2,55.1,62188.0
5590,Pully,Vaud,Lavaux-Oron,13355.0,12548.0,6,solide (5+),Homegate/Apify (annonces réelles),2026.0,1654.0,8.5,55.0,62708.0
5652,Villars-sous-Yens,Vaud,Morges,12914.0,12914.0,2,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,28.0,4.7,36.8,62091.0
5640,Lussy-sur-Morges,Vaud,Morges,12914.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,58.0,8.1,64.7,72149.0
6610,Céligny,Genève,Genève,12763.0,12717.0,8,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,38.0,4.4,41.7,46072.0
6615,Collex-Bossy,Genève,Genève,12659.0,12659.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,85.0,5.1,33.2,61131.0
6618,Confignon,Genève,Genève,12607.0,13602.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,278.0,6.1,31.8,59819.0
5588,Paudex,Vaud,Lavaux-Oron,12542.0,12542.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,99.0,6.6,44.7,60088.0
6634,Pregny-Chambésy,Genève,Genève,12539.0,12935.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,260.0,6.1,47.6,49718.0
5586,Lausanne,Vaud,Lausanne,12503.0,11278.0,41,solide (5+),Homegate/Apify (annonces réelles),2026.0,6992.0,4.8,14.2,47070.0
5892,Blonay - Saint-Légier,Vaud,Riviera-Pays-d'Enhaut,12458.0,10902.0,27,solide (5+),Homegate/Apify (annonces réelles),2026.0,824.0,6.6,44.5,61142.0
5648,Saint-Sulpice (VD),Vaud,Ouest lausannois,12443.0,12595.0,6,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,303.0,5.9,72.6,71296.0
5646,Saint-Prex,Vaud,Morges,12439.0,11209.0,8,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,240.0,4.1,55.4,60549.0
6631,Onex,Genève,Genève,12391.0,12288.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,1433.0,7.6,7.8,45884.0
6640,Thônex,Genève,Genève,12377.0,11225.0,12,solide (5+),Homegate/Apify (annonces réelles),2026.0,982.0,5.8,20.1,45727.0
5856,Essertines-sur-Rolle,Vaud,Nyon,12244.0,11012.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,18.0,2.3,59.7,73707.0
5717,Founex,Vaud,Nyon,12190.0,12451.0,9,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,166.0,4.4,63.6,65571.0
5719,Gingins,Vaud,Nyon,12180.0,12180.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,77.0,6.1,57.4,63669.0
6625,Hermance,Genève,Genève,12168.0,12168.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,84.0,6.7,29.3,50606.0
6611,Chancy,Genève,Genève,11892.0,11892.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,39.0,2.3,22.5,60133.0
5714,Crassier,Vaud,Nyon,11869.0,11869.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,50.0,3.9,49.8,62838.0
5726,La Rippe,Vaud,Nyon,11869.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,43.0,3.6,60.8,71053.0
5705,Bogis-Bossey,Vaud,Nyon,11869.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,32.0,3.2,48.4,67709.0
6645,Veyrier,Genève,Genève,11788.0,10850.0,22,solide (5+),Homegate/Apify (annonces réelles),2026.0,894.0,7.4,43.1,54426.0
5886,Montreux,Vaud,Riviera-Pays-d'Enhaut,11721.0,10181.0,74,solide (5+),Homegate/Apify (annonces réelles),2026.0,1976.0,7.3,30.1,44881.0
5723,Mies,Vaud,Nyon,11667.0,11667.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,130.0,6.0,58.9,57599.0
6623,Le Grand-Saconnex,Genève,Genève,11583.0,10613.0,18,solide (5+),Homegate/Apify (annonces réelles),2026.0,685.0,5.2,20.2,45777.0
5589,Prilly,Vaud,Ouest lausannois,11557.0,10338.0,15,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,802.0,6.3,23.0,47688.0
6633,Plan-les-Ouates,Genève,Genève,11544.0,10605.0,9,solide (5+),Homegate/Apify (annonces réelles),2026.0,529.0,4.3,46.1,57091.0
5718,Genolier,Vaud,Nyon,11518.0,11677.0,8,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,109.0,5.4,79.8,74246.0
5711,Commugny,Vaud,Nyon,11477.0,11485.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,165.0,5.5,61.6,65000.0
5883,Corseaux,Vaud,Riviera-Pays-d'Enhaut,11439.0,10895.0,6,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,211.0,9.1,49.9,66011.0
5610,Saint-Saphorin (Lavaux),Vaud,Lavaux-Oron,11439.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,13.0,3.4,,53126.0
5635,Ecublens (VD),Vaud,Ouest lausannois,11420.0,12308.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,667.0,5.0,39.1,49986.0
5627,Chavannes-près-Renens,Vaud,Ouest lausannois,11420.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,272.0,2.8,16.1,47573.0
5643,Préverenges,Vaud,Morges,11409.0,11318.0,8,solide (5+),Homegate/Apify (annonces réelles),2026.0,326.0,6.2,46.4,59778.0
5587,Le Mont-sur-Lausanne,Vaud,Lausanne,11343.0,10435.0,10,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,501.0,5.3,38.2,60915.0
5709,Chéserex,Vaud,Nyon,11333.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,65.0,5.1,67.5,71635.0
5722,Grens,Vaud,Nyon,11333.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,21.0,5.4,58.8,64865.0
5706,Borex,Vaud,Nyon,11333.0,11333.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,59.0,5.1,68.5,70055.0
5701,Arnex-sur-Nyon,Vaud,Nyon,11333.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,8.0,3.0,52.6,66667.0
5649,Tolochenaz,Vaud,Morges,11185.0,11012.0,3,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,89.0,4.6,43.8,56190.0
5584,Epalinges,Vaud,Lausanne,11155.0,11365.0,16,solide (5+),Homegate/Apify (annonces réelles),2026.0,566.0,5.7,48.5,61040.0
5859,Mont-sur-Rolle,Vaud,Nyon,11155.0,11219.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,136.0,4.9,50.7,59978.0
5854,Burtigny,Vaud,Nyon,11143.0,11143.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,16.0,4.0,30.8,57895.0
5716,Eysins,Vaud,Nyon,11124.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,78.0,4.4,68.0,72692.0
5713,Crans (VD),Vaud,Nyon,11124.0,11818.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,140.0,5.7,70.4,74213.0
5414,Villeneuve (VD),Vaud,Aigle,11105.0,9868.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,299.0,5.0,27.4,44288.0
5862,Tartegnin,Vaud,Nyon,11028.0,11028.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,12.0,5.1,27.7,60001.0
5728,Signy-Avenex,Vaud,Nyon,10987.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,40.0,6.6,65.5,68527.0
5724,Nyon,Vaud,Nyon,10987.0,12083.0,7,solide (5+),Homegate/Apify (annonces réelles),2026.0,1167.0,5.0,49.8,57968.0
5790,Maracon,Vaud,Lavaux-Oron,10936.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,20.0,3.5,37.5,63345.0
5884,Corsier-sur-Vevey,Vaud,Riviera-Pays-d'Enhaut,10936.0,11561.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,212.0,6.3,34.2,48030.0
5710,Coinsins,Vaud,Nyon,10903.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,24.0,4.6,79.4,70139.0
5732,Vich,Vaud,Nyon,10903.0,10903.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,35.0,3.0,63.5,72854.0
5489,Mex (VD),Vaud,Gros-de-Vaud,10847.0,10847.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,41.0,5.1,59.4,64820.0
6627,Laconnex,Genève,Genève,10773.0,10773.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,45.0,6.4,44.4,67828.0
5623,Buchillon,Vaud,Morges,10769.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,43.0,6.3,76.8,71468.0
5860,Perroy,Vaud,Nyon,10769.0,10769.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,67.0,4.2,54.6,61650.0
6638,Satigny,Genève,Genève,10755.0,10400.0,9,solide (5+),Homegate/Apify (annonces réelles),2026.0,239.0,5.1,39.3,54395.0
6626,Jussy,Genève,Genève,10678.0,10996.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,81.0,6.6,47.4,65278.0
5581,Belmont-sur-Lausanne,Vaud,Lavaux-Oron,10622.0,10570.0,5,solide (5+),Homegate/Apify (annonces réelles),2026.0,176.0,4.5,45.2,67338.0
5639,Lully (VD),Vaud,Morges,10604.0,10311.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,36.0,4.3,77.7,79688.0
5703,Bassins,Vaud,Nyon,10593.0,10593.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,55.0,3.7,42.8,65678.0
6609,Cartigny,Genève,Genève,10583.0,10583.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,46.0,4.4,56.9,75715.0
6632,Perly-Certoux,Genève,Genève,10543.0,12088.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,184.0,5.6,35.5,57955.0
6607,Bernex,Genève,Genève,10489.0,9823.0,9,solide (5+),Homegate/Apify (annonces réelles),2026.0,713.0,6.4,27.1,59115.0
5583,Crissier,Vaud,Ouest lausannois,10423.0,10783.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,383.0,3.6,36.6,49004.0
5611,Savigny,Vaud,Lavaux-Oron,10422.0,10819.0,6,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,181.0,5.1,40.0,58818.0
5725,Prangins,Vaud,Nyon,10411.0,10411.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,242.0,5.7,64.2,66114.0
5636,Etoy,Vaud,Morges,10401.0,10859.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,151.0,5.1,44.5,51826.0
5933,Valeyres-sous-Montagny,Vaud,Jura-Nord vaudois,10385.0,7500.0,5,solide (5+),Homegate/Apify (annonces réelles),2026.0,39.0,5.5,38.3,59158.0
5889,La Tour-de-Peilz,Vaud,Riviera-Pays-d'Enhaut,10340.0,9781.0,11,solide (5+),Homegate/Apify (annonces réelles),2026.0,891.0,7.0,39.6,52297.0
6630,Meyrin,Genève,Genève,10326.0,9577.0,22,solide (5+),Homegate/Apify (annonces réelles),2026.0,1476.0,5.5,24.4,46129.0
6643,Vernier,Genève,Genève,10282.0,9522.0,9,solide (5+),Homegate/Apify (annonces réelles),2026.0,1815.0,4.8,4.9,42332.0
6636,Puplinge,Genève,Genève,10220.0,10745.0,10,solide (5+),Homegate/Apify (annonces réelles),2026.0,157.0,6.0,28.1,61726.0
5707,Chavannes-de-Bogis,Vaud,Nyon,10183.0,10226.0,6,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,44.0,3.2,75.4,77624.0
5434,Saint-George,Vaud,Nyon,10063.0,10298.0,4,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,43.0,4.0,44.1,63195.0
5731,Le Vaud,Vaud,Nyon,10025.0,9843.0,7,solide (5+),Homegate/Apify (annonces réelles),2026.0,47.0,3.4,47.5,65700.0
5430,Marchissy,Vaud,Nyon,10025.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,12.0,2.4,31.8,61831.0
5909,Cheseaux-Noréaz,Vaud,Jura-Nord vaudois,10011.0,7543.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,48.0,6.5,54.5,69576.0
5853,Bursins,Vaud,Nyon,10000.0,10000.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,37.0,4.5,42.9,63983.0
5655,Yens,Vaud,Morges,9944.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,68.0,4.5,48.2,65137.0
5423,Ballens,Vaud,Morges,9944.0,9944.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,32.0,5.5,30.9,55515.0
5890,Vevey,Vaud,Riviera-Pays-d'Enhaut,9939.0,9668.0,16,solide (5+),Homegate/Apify (annonces réelles),2026.0,982.0,4.9,16.9,44538.0
5720,Givrins,Vaud,Nyon,9938.0,9938.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,46.0,4.3,56.3,73090.0
5634,Echichens,Vaud,Morges,9904.0,8700.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,240.0,7.4,50.3,64555.0
5629,Clarmont,Vaud,Morges,9904.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,8.0,3.5,37.5,60228.0
5642,Morges,Vaud,Morges,9850.0,10458.0,9,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,1273.0,7.2,37.0,53661.0
5503,Vufflens-la-Ville,Vaud,Gros-de-Vaud,9801.0,10450.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,63.0,4.7,52.2,65093.0
5721,Gland,Vaud,Nyon,9727.0,9437.0,13,solide (5+),Homegate/Apify (annonces réelles),2026.0,490.0,3.5,50.4,58504.0
5409,Ollon,Vaud,Aigle,9669.0,8862.0,39,solide (5+),Homegate/Apify (annonces réelles),2026.0,380.0,4.6,32.9,51178.0
6606,Bellevue,Genève,Genève,9579.0,10004.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,128.0,3.1,37.0,52316.0
5624,Bussigny,Vaud,Ouest lausannois,9496.0,9496.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,371.0,3.2,47.0,57189.0
5654,Vullierens,Vaud,Morges,9485.0,9485.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,21.0,3.8,31.3,59549.0
5429,Longirod,Vaud,Nyon,9400.0,9400.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,23.0,4.1,33.0,62939.0
6629,Meinier,Genève,Genève,9373.0,9373.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,153.0,7.4,37.4,57974.0
5863,Vinzel,Vaud,Nyon,9336.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,9.0,2.3,55.5,68104.0
5704,Begnins,Vaud,Nyon,9336.0,9398.0,3,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,172.0,8.5,54.0,63637.0
5404,Corbeyrier,Vaud,Aigle,9277.0,9277.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,53.0,11.7,23.8,50203.0
5530,Pailly,Vaud,Gros-de-Vaud,9225.0,9225.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,18.0,3.1,38.7,66331.0
5406,Lavey-Morcles,Vaud,Aigle,9200.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,48.0,4.7,24.4,47693.0
5405,Gryon,Vaud,Aigle,9200.0,8404.0,10,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,84.0,5.5,22.4,48334.0
5458,Faoug,Vaud,Broye-Vully,9182.0,9182.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,29.0,3.2,44.0,57618.0
5671,Dompierre (VD),Vaud,Broye-Vully,9166.0,9166.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,9.0,3.8,29.4,60313.0
5638,Lonay,Vaud,Morges,9158.0,11233.0,3,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,260.0,9.5,65.0,64417.0
5806,Jorat-Mézières,Vaud,Lavaux-Oron,9117.0,9117.0,2,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,129.0,4.0,37.7,59204.0
5484,Gollion,Vaud,Morges,9052.0,9052.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,39.0,3.7,38.5,63637.0
5485,Grancy,Vaud,Morges,9052.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,22.0,4.1,45.4,65057.0
5499,Senarclens,Vaud,Morges,9052.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,25.0,5.2,38.8,57144.0
5621,Aclens,Vaud,Morges,9052.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,20.0,3.4,55.2,61608.0
5552,Bullet,Vaud,Jura-Nord vaudois,9047.0,9047.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,56.0,8.2,24.0,51686.0
5591,Renens (VD),Vaud,Ouest lausannois,9023.0,9237.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,964.0,4.5,13.2,44275.0
5914,Ependes (VD),Vaud,Jura-Nord vaudois,9006.0,9006.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,19.0,5.0,28.7,54077.0
5424,Berolle,Vaud,Morges,8969.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,13.0,4.3,26.4,54488.0
5425,Bière,Vaud,Morges,8969.0,8969.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,90.0,5.4,31.8,51370.0
5431,Mollens (VD),Vaud,Morges,8969.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,14.0,4.3,25.4,51737.0
5651,Villars-Sainte-Croix,Vaud,Ouest lausannois,8935.0,8935.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,38.0,4.0,59.3,65991.0
5522,Fey,Vaud,Gros-de-Vaud,8927.0,8927.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,31.0,3.9,38.2,64625.0
5592,Romanel-sur-Lausanne,Vaud,Lausanne,8924.0,8797.0,3,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,189.0,4.4,34.6,55814.0
6601,Aire-la-Ville,Genève,Genève,8901.0,8639.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,52.0,4.4,32.8,67771.0
5799,Servion,Vaud,Lavaux-Oron,8845.0,9781.0,7,solide (5+),Homegate/Apify (annonces réelles),2026.0,90.0,4.0,43.9,62392.0
5435,Saint-Livres,Vaud,Morges,8839.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,32.0,4.5,39.5,58399.0
5637,Lavigny,Vaud,Morges,8839.0,7244.0,5,solide (5+),Homegate/Apify (annonces réelles),2026.0,27.0,2.5,30.3,54935.0
6637,Russin,Genève,Genève,8785.0,8785.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,28.0,5.2,51.0,65117.0
5540,Montilliez,Vaud,Gros-de-Vaud,8750.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,65.0,3.5,39.2,62399.0
5518,Echallens,Vaud,Gros-de-Vaud,8750.0,8615.0,7,solide (5+),Homegate/Apify (annonces réelles),2026.0,297.0,4.4,30.8,54746.0
5496,Penthaz,Vaud,Gros-de-Vaud,8750.0,8750.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,78.0,4.0,42.2,61464.0
5472,Bournens,Vaud,Gros-de-Vaud,8750.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,20.0,3.8,54.1,66797.0
5511,Assens,Vaud,Gros-de-Vaud,8750.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,64.0,3.7,45.7,65292.0
5456,Cudrefin,Vaud,Broye-Vully,8730.0,9124.0,6,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,81.0,4.3,56.3,61359.0
5822,Payerne,Vaud,Broye-Vully,8688.0,6439.0,7,solide (5+),Homegate/Apify (annonces réelles),2026.0,502.0,4.7,23.7,45259.0
5891,Veytaux,Vaud,Riviera-Pays-d'Enhaut,8597.0,9318.0,5,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,66.0,6.4,36.0,50324.0
5656,Hautemorges,Vaud,Morges,8525.0,8484.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,212.0,4.8,42.7,60105.0
5931,Treycovagnes,Vaud,Jura-Nord vaudois,8455.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,21.0,4.1,34.7,58929.0
5938,Yverdon-les-Bains,Vaud,Jura-Nord vaudois,8455.0,8284.0,26,solide (5+),Homegate/Apify (annonces réelles),2026.0,1817.0,6.0,16.9,45149.0
5812,Champtauroz,Vaud,Broye-Vully,8443.0,8443.0,2,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,8.0,4.1,24.5,54606.0
5622,Bremblens,Vaud,Morges,8346.0,8346.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,23.0,3.7,52.7,69250.0
5559,Giez,Vaud,Jura-Nord vaudois,8333.0,8333.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,28.0,6.0,45.7,64096.0
5937,Vugelles-La Mothe,Vaud,Jura-Nord vaudois,8333.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,6.0,4.1,35.5,56001.0
5560,Grandevent,Vaud,Jura-Nord vaudois,8333.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,11.0,4.6,49.0,69500.0
