canton,nom_clean,type,lits,lat,lon,ofs,commune,geo_source
Fribourg,Foyer Saint-Joseph,EMS,144.0,46.697452545166016,7.155611991882324,2149,La Roche,geo.admin
Fribourg,Home de la Vallée de l’Intyamon,EMS,44.0,46.53959274291992,7.068479061126709,2162,Bas-Intyamon,geo.admin
Fribourg,Foyer Saint-Vincent,EMS,40.0,46.61885070800781,7.025303840637207,2160,Vuadens,geo.admin
Fribourg,Foyer Saint-Germain,EMS,36.0,46.58864212036133,7.082198619842529,2135,Gruyères,geo.admin
Fribourg,Pflegeheim des Seebezirks,EMS,65.0,46.93345986625283,7.144716810675141,2275,Murten,geo.admin
Fribourg,Pflegeheim Jeuss,EMS,46.0,46.90290069580078,7.178050994873047,2391,Staatswald Galm,geo.admin
Fribourg,Home médicalisé Saint-François,EMS,44.0,46.86577224731445,7.124781131744385,2254,Courtepin,geo.admin
Fribourg,Home du Vully,EMS,36.0,46.963165283203125,7.103609085083008,2284,Mont-Vully,geo.admin
Fribourg,Alters- und Pflegeheim Kerzers,EMS,38.0,46.988182067871094,7.172326564788818,2265,Kerzers,geo.admin
Fribourg,Alters- und Pflegeheim Ulmiz,EMS,28.0,46.93268203735352,7.200314998626709,2278,Ulmiz,geo.admin
Fribourg,Stiftung Résidence Beaulieu,EMS,20.0,46.93345986625283,7.144716810675141,2275,Murten,geo.admin
Fribourg,Réseau Santé Glâne,EMS,206.0,46.69293975830078,6.905735015869141,2063,Billens-Hennens,geo.admin
Fribourg,EMS Les Grèves du Lac,EMS,32.0,46.90360641479492,6.933178901672363,2022,Gletterens,geo.admin
Fribourg,Homes médicalisés de la Broye,EMS,177.0,46.84336853027344,6.854987144470215,2054,Estavayer,geo.admin
Fribourg,Maison Saint-Joseph,EMS,81.0,46.529239654541016,6.8990302085876465,2325,Châtel-Saint-Denis,geo.admin
Fribourg,EMS Le Châtelet,EMS,68.0,46.52309799194336,6.8718438148498535,2321,Attalens,geo.admin
Fribourg,EMS Les Camélias,EMS,15.0,46.655853271484375,7.058834552764893,2140,Marsens,geo.admin
Fribourg,Institution de santé pour religieux de Fribourg,EMS,70.0,46.810935974121094,7.139803886413574,2196,Fribourg,geo.admin
