ofs,nom,canton,district,revenu_median_est,part_haut_revenu,nb_contribuables,coefficient,fortune_moy_chf,revenu_norm,coeff_norm,indice_pouvoir_achat
5511,Assens,Vaud,Gros-de-Vaud,65292.0,26.8,889.0,70.0,264755.0,56.27686639178875,64.86486486486487,45.7
5559,Giez,Vaud,Jura-Nord vaudois,64096.0,27.1,247.0,69.0,180436.0,53.65382928327046,62.16216216216216,45.7
5872,Le Chenit,Vaud,Jura-Nord vaudois,50898.0,14.7,2518.0,58.5,180436.0,24.708307746293535,33.78378378378378,45.5
5471,Bettens,Vaud,Gros-de-Vaud,65030.0,24.5,359.0,70.0,264755.0,55.70225458373541,64.86486486486487,45.4
5485,Grancy,Vaud,Morges,65057.0,28.8,257.0,70.0,471789.0,55.76147030441266,64.86486486486487,45.4
2258,Fräschels,Fribourg,See,64286.0,23.4,252.0,75.0,,54.07053250285113,63.23529411764706,45.4
5581,Belmont-sur-Lausanne,Vaud,Lavaux-Oron,67338.0,31.3,1935.0,72.0,563599.0,60.76410211422054,70.27027027027027,45.2
6602,Anières,Genève,Genève,45770.0,29.6,1044.0,31.0,,13.461707167295378,23.076923076923077,45.2
5551,Bonvillars,Vaud,Jura-Nord vaudois,61030.0,22.8,281.0,67.0,180436.0,46.92955522414247,56.75675675675676,45.1
5702,Arzier-Le Muids,Vaud,Nyon,57357.0,32.3,1501.0,64.0,601453.0,38.87402403719625,48.64864864864865,45.1
5684,Rossenges,Vaud,Broye-Vully,58594.0,11.1,45.0,65.0,149121.0,41.586981314150364,51.35135135135135,45.1
5935,Villars-Epeney,Vaud,Jura-Nord vaudois,67188.0,30.2,43.0,72.0,180436.0,60.43512588823581,70.27027027027027,45.1
2228,Villars-sur-Glâne,Fribourg,La Sarine,56384.0,19.6,6630.0,63.9,,36.74006491797526,46.911764705882355,44.9
5588,Paudex,Vaud,Lavaux-Oron,60088.0,24.0,796.0,66.5,563599.0,44.86358452495833,55.4054054054054,44.7
2022,Gletterens,Fribourg,La Broye,59465.0,21.5,606.0,68.9,,43.49723659970173,54.26470588235295,44.6
5892,Blonay - Saint-Légier,Vaud,Riviera-Pays-d'Enhaut,61142.0,28.9,6273.0,67.5,337178.0,47.17519080621107,58.108108108108105,44.5
