ofs,nom,district,note_pouvoir_achat,note_population,note_tension_ems,indice_pouvoir_achat,pop_80plus,pop_zone_80plus,part_80plus,dist_ems_km,lits_pour_100_district,prix_m2_appart,prix_fiabilite
2041,Saint-Aubin (FR),La Broye,1.74,2.1,2.74,34.7,75.0,1923,3.7,3.93,14.5,,
2153,Sorens,La Gruyère,1.86,2.57,1.16,37.2,39.0,2975,3.5,2.08,20.0,,
2183,Corminboeuf,La Sarine,2.56,3.38,1.38,51.3,102.0,6395,3.4,1.98,19.1,,
2272,Misery-Courtion,See,1.42,3.37,2.51,28.3,72.0,6329,3.0,3.16,15.1,,
2304,St. Ursen,Sense,1.69,3.27,2.64,33.9,78.0,5766,5.5,2.74,14.4,,
5408,Noville,Aigle,1.39,3.06,0.39,27.8,57.0,4720,4.7,3.57,23.7,6701.0,indicative (1-4)
5480,Daillens,Gros-de-Vaud,2.91,2.87,2.75,58.2,29.0,3949,2.6,2.83,14.0,4261.0,indicative (1-4)
5489,Mex (VD),Gros-de-Vaud,2.97,4.3,2.75,59.4,41.0,15182,5.1,2.81,14.0,10847.0,indicative (1-4)
5523,Froideville,Gros-de-Vaud,2.1,4.05,3.04,42.1,96.0,11942,3.5,5.53,14.0,6946.0,indicative (1-4)
5610,Saint-Saphorin (Lavaux),Lavaux-Oron,,3.22,3.9,,13.0,5470,3.4,2.47,9.3,11439.0,estimé (voisinage)
5661,Boulens,Gros-de-Vaud,1.84,2.1,2.6,36.8,15.0,1919,4.1,1.5,14.0,8067.0,estimé (voisinage)
5723,Mies,Nyon,2.94,3.14,3.4,58.9,130.0,5075,6.0,1.84,11.0,11667.0,indicative (1-4)
5732,Vich,Nyon,3.18,2.92,3.4,63.5,35.0,4160,3.0,1.88,11.0,10903.0,indicative (1-4)
5764,Vallorbe,Jura-Nord vaudois,1.19,1.06,2.79,23.8,206.0,723,4.8,10.13,17.0,6253.0,indicative (1-4)
6616,Collonge-Bellerive,Genève,3.3,4.87,2.9,66.0,588.0,25897,6.8,0.47,12.4,17245.0,solide (5+)
6633,Plan-les-Ouates,Genève,2.31,4.9,2.86,46.1,529.0,26582,4.3,0.2,12.4,11544.0,solide (5+)
6635,Presinge,Genève,1.26,4.44,2.88,25.2,64.0,17262,9.0,0.31,12.4,14497.0,solide (5+)
6641,Troinex,Genève,1.94,4.9,3.01,38.7,151.0,26402,4.8,1.53,12.4,13540.0,solide (5+)
5511,Assens,Gros-de-Vaud,2.28,3.39,2.75,45.7,64.0,6463,3.7,2.82,14.0,8750.0,estimé (voisinage)
5529,Oulens-sous-Echallens,Gros-de-Vaud,2.34,2.82,2.73,46.9,17.0,3763,2.8,2.66,14.0,4261.0,estimé (voisinage)
2123,Botterens,La Gruyère,1.52,2.36,1.16,30.5,19.0,2451,2.5,2.13,20.0,,
2293,Düdingen,Sense,1.68,3.4,2.47,33.5,547.0,6488,6.0,1.17,14.4,,
2303,St. Silvester,Sense,0.97,3.12,2.63,19.4,56.0,4991,5.3,2.65,14.4,,
5622,Bremblens,Morges,2.64,4.37,4.01,52.7,23.0,16111,3.7,2.37,8.8,8346.0,annonces (surface estimée)
5663,Bussy-sur-Moudon,Broye-Vully,1.47,2.1,1.96,29.4,9.0,1923,3.4,2.47,17.0,6846.0,estimé (voisinage)
5678,Moudon,Broye-Vully,1.01,2.0,1.75,20.2,271.0,1746,4.1,0.57,17.0,6846.0,solide (5+)
