ofs,nom,district,dist_ems_km,pop_totale,pop_80plus,part_80plus,indice_pouvoir_achat,prix_m2_appart,prix_fiabilite,lits_pour_100_district,demande_score,tension_score,pouvoir_achat_score,prix_bas_score
5568,Sainte-Croix,Jura-Nord vaudois,0.63,5139.0,408.0,7.9,17.6,5209.0,solide (5+),17.0,67.5,35.1,17.6,93.0
5589,Prilly,Ouest lausannois,0.6,12758.0,802.0,6.3,23.0,11557.0,indicative (1-4),18.1,53.8,29.5,23.0,65.3
5628,Chigny,Morges,1.63,420.0,7.0,1.7,49.5,14471.0,annonces (surface estimée),8.8,14.5,78.6,49.5,52.6
5741,L'Abergement,Jura-Nord vaudois,6.47,270.0,11.0,4.1,30.5,6832.0,estimé (voisinage),17.0,35.0,47.9,30.5,85.9
5747,Bofflens,Jura-Nord vaudois,3.83,200.0,7.0,3.5,43.2,6832.0,estimé (voisinage),17.0,29.9,42.1,43.2,85.9
5803,Vulliens,Broye-Vully,3.99,628.0,24.0,3.8,33.0,5865.0,annonces (surface estimée),17.0,32.5,42.4,33.0,90.1
6636,Puplinge,Genève,2.06,2628.0,157.0,6.0,28.1,,,12.4,51.3,61.4,28.1,
2099,Siviriez,La Glâne,4.77,2675.0,101.0,3.8,25.1,,,20.2,32.5,28.0,25.1,
2134,Grandvillard,La Gruyère,3.4,903.0,37.0,4.1,33.2,,,20.0,35.0,26.0,33.2,
2143,Morlon,La Gruyère,2.83,771.0,30.0,3.9,30.0,,,20.0,33.3,24.8,30.0,
2206,Marly,La Sarine,0.62,9242.0,576.0,6.2,20.6,,,19.1,53.0,24.5,20.6,
2238,Bois-d'Amont,La Sarine,2.94,2422.0,97.0,4.0,33.1,,,19.1,34.2,29.6,33.1,
2271,Meyriez,See,3.39,569.0,39.0,6.9,64.6,,,15.1,59.0,50.7,64.6,
5407,Leysin,Aigle,1.21,3659.0,139.0,3.8,10.9,6389.0,indicative (1-4),23.7,32.5,2.6,10.9,87.9
5437,Saubraz,Morges,5.77,447.0,9.0,2.0,29.7,8120.0,estimé (voisinage),8.8,17.1,87.6,29.7,80.3
5475,Chavannes-le-Veyron,Morges,0.5,160.0,1.0,0.6,37.8,6353.0,estimé (voisinage),8.8,5.1,76.1,37.8,88.0
