ofs,nom,annee,pop_totale,pop_65plus,pop_80plus,part_65plus,part_80plus
5857,Gilly,2024,1441,215,51,14.9,3.5
5411,Ormont-Dessus,2024,1433,439,126,30.6,8.8
2333,Remaufens,2024,1427,190,24,13.3,1.7
5730,Trélex,2024,1426,258,75,18.1,5.3
2304,St. Ursen,2024,1419,281,78,19.8,5.5
6604,Avusy,2024,1412,267,75,18.9,5.3
2296,Heitenried,2024,1404,283,71,20.2,5.1
2145,Le Pâquier (FR),2024,1386,212,48,15.3,3.5
5707,Chavannes-de-Bogis,2024,1384,234,44,16.9,3.2
2307,Tentlingen,2024,1382,289,79,20.9,5.7
5731,Le Vaud,2024,1367,246,47,18.0,3.4
5514,Bottens,2024,1354,206,44,15.2,3.2
2338,La Verrerie,2024,1350,165,48,12.2,3.6
5512,Bercher,2024,1344,222,62,16.5,4.6
5503,Vufflens-la-Ville,2024,1342,257,63,19.2,4.7
2051,Delley-Portalban,2024,1319,255,65,19.3,4.9
5537,Villars-le-Terroir,2024,1308,202,59,15.4,4.5
2016,Fétigny,2024,1284,167,42,13.0,3.3
5709,Chéserex,2024,1279,242,65,18.9,5.1
5714,Crassier,2024,1275,166,50,13.0,3.9
5719,Gingins,2024,1256,269,77,21.4,6.1
6625,Hermance,2024,1246,258,84,20.7,6.7
5410,Ormont-Dessous,2024,1242,266,58,21.4,4.7
2276,Ried bei Kerzers,2024,1237,231,61,18.7,4.9
6614,Choulex,2024,1232,269,75,21.8,6.1
5501,Sullens,2024,1226,198,56,16.2,4.6
2025,Lully (FR),2024,1226,174,44,14.2,3.6
6626,Jussy,2024,1223,251,81,20.5,6.6
2044,Surpierre,2024,1220,210,56,17.2,4.6
5744,Ballaigues,2024,1218,234,92,19.2,7.6
5408,Noville,2024,1215,226,57,18.6,4.7
2337,Le Flon,2024,1211,197,47,16.3,3.9
5482,Eclépens,2024,1210,195,53,16.1,4.4
5541,Goumoëns,2024,1206,215,67,17.8,5.6
5726,La Rippe,2024,1196,175,43,14.6,3.6
5521,Etagnières,2024,1191,183,52,15.4,4.4
5732,Vich,2024,1182,177,35,15.0,3.0
6601,Aire-la-Ville,2024,1173,209,52,17.8,4.4
2301,Rechthalten,2024,1165,284,73,24.4,6.3
5745,Baulmes,2024,1165,218,53,18.7,4.5
2087,Mézières (FR),2024,1163,201,47,17.3,4.0
2022,Gletterens,2024,1161,229,41,19.7,3.5
5527,Morrens (VD),2024,1155,216,60,18.7,5.2
5706,Borex,2024,1146,200,59,17.5,5.1
5520,Essertines-sur-Yverdon,2024,1142,154,34,13.5,3.0
5715,Duillier,2024,1140,170,45,14.9,3.9
2155,Vaulruz,2024,1130,195,59,17.3,5.2
5539,Vuarrens,2024,1119,111,26,9.9,2.3
2257,Cressier (FR),2024,1109,158,35,14.2,3.2
5415,Yvorne,2024,1109,216,53,19.5,4.8
2153,Sorens,2024,1103,176,39,16.0,3.5
5637,Lavigny,2024,1099,156,27,14.2,2.5
5480,Daillens,2024,1097,159,29,14.5,2.6
2115,Torny,2024,1095,172,30,15.7,2.7
5486,L'Isle,2024,1094,214,49,19.6,4.5
2300,Plasselb,2024,1088,242,62,22.2,5.7
5434,Saint-George,2024,1081,193,43,17.9,4.0
5553,Champagne,2024,1070,165,32,15.4,3.0
5720,Givrins,2024,1068,204,46,19.1,4.3
5484,Gollion,2024,1066,159,39,14.9,3.7
2303,St. Silvester,2024,1064,226,56,21.2,5.3
6609,Cartigny,2024,1050,184,46,17.5,4.4
2335,Saint-Martin (FR),2024,1043,169,36,16.2,3.5
2129,Corbières,2024,1042,169,27,16.2,2.6
5746,Bavois,2024,1041,133,23,12.8,2.2
5891,Veytaux,2024,1038,196,66,18.9,6.4
5554,Concise,2024,1025,174,34,17.0,3.3
5406,Lavey-Morcles,2024,1015,211,48,20.8,4.7
5473,Boussens,2024,1006,139,22,13.8,2.2
5705,Bogis-Bossey,2024,991,133,32,13.4,3.2
5708,Chavannes-des-Bois,2024,983,129,30,13.1,3.1
2274,Muntelier,2024,982,252,57,25.7,5.8
2328,Granges (Veveyse),2024,977,152,44,15.6,4.5
5817,Grandcour,2024,976,170,46,17.4,4.7
5651,Villars-Sainte-Croix,2024,953,172,38,18.0,4.0
5412,Rennaz,2024,949,159,40,16.8,4.2
5492,Montricher,2024,943,174,38,18.5,4.0
6639,Soral,2024,942,209,86,22.2,9.1
5497,Pompaples,2024,932,131,37,14.1,4.0
5427,Féchy,2024,923,156,35,16.9,3.8
5873,Le Lieu,2024,918,231,60,25.2,6.5
5913,Donneloye,2024,916,143,40,15.6,4.4
2134,Grandvillard,2024,903,133,37,14.7,4.1
2063,Billens-Hennens,2024,903,155,35,17.2,3.9
5515,Bretigny-sur-Morrens,2024,899,120,22,13.3,2.4
5458,Faoug,2024,895,155,29,17.3,3.2
2177,Chénens,2024,886,113,26,12.8,2.9
5926,Pomy,2024,876,131,38,15.0,4.3
5571,Tévenon,2024,862,174,56,20.2,6.5
6610,Céligny,2024,862,134,38,15.5,4.4
2068,Châtonnaye,2024,860,131,44,15.2,5.1
5533,Poliez-Pittet,2024,850,128,47,15.1,5.5
2131,Echarlens,2024,846,127,34,15.0,4.0
2173,Autigny,2024,840,127,22,15.1,2.6
5653,Vufflens-le-Château,2024,837,170,54,20.3,6.5
5639,Lully (VD),2024,836,153,36,18.3,4.3
5535,Saint-Barthélemy (VD),2024,834,118,26,14.1,3.1
5853,Bursins,2024,814,142,37,17.4,4.5
5843,Rougemont,2024,813,216,75,26.6,9.2
5489,Mex (VD),2024,807,158,41,19.6,5.1
5522,Fey,2024,789,108,31,13.7,3.9
5856,Essertines-sur-Rolle,2024,785,119,18,15.2,2.3
5922,Montagny-près-Yverdon,2024,780,137,37,17.6,4.7
2143,Morlon,2024,771,140,30,18.2,3.9
2123,Botterens,2024,759,117,19,15.4,2.5
2137,Hauteville,2024,744,96,20,12.9,2.7
5631,Denens,2024,742,152,44,20.5,5.9
5909,Cheseaux-Noréaz,2024,736,164,48,22.3,6.5
5919,Mathod,2024,725,101,26,13.9,3.6
2292,Brünisried,2024,724,131,22,18.1,3.0
5905,Champvent,2024,724,112,28,15.5,3.9
5640,Lussy-sur-Morges,2024,719,151,58,21.0,8.1
5435,Saint-Livres,2024,715,103,32,14.4,4.5
6635,Presinge,2024,708,197,64,27.8,9.0
5933,Valeyres-sous-Montagny,2024,707,141,39,19.9,5.5
2266,Kleinbösingen,2024,705,140,20,19.9,2.8
6627,Laconnex,2024,704,154,45,21.9,6.4
5743,Arnex-sur-Orbe,2024,694,125,23,18.0,3.3
5623,Buchillon,2024,686,150,43,21.9,6.3
5552,Bullet,2024,681,201,56,29.5,8.2
5929,Suchy,2024,663,67,12,10.1,1.8
2138,Jaun,2024,657,181,53,27.5,8.1
5792,Montpreveyres,2024,656,85,19,13.0,2.9
5471,Bettens,2024,646,60,11,9.3,1.7
5858,Luins,2024,633,92,20,14.5,3.2
5803,Vulliens,2024,628,96,24,15.3,3.8
5692,Vucherens,2024,621,94,28,15.1,4.5
5855,Dully,2024,620,117,27,18.9,4.4
5622,Bremblens,2024,614,93,23,15.1,3.7
5728,Signy-Avenex,2024,608,111,40,18.3,6.6
5766,Vuiteboeuf,2024,608,85,17,14.0,2.8
2147,Pont-la-Ville,2024,606,101,21,16.7,3.5
5529,Oulens-sous-Echallens,2024,603,97,17,16.1,2.8
5652,Villars-sous-Yens,2024,602,96,28,15.9,4.7
2086,Massonnens,2024,596,104,17,17.4,2.9
5621,Aclens,2024,585,84,20,14.4,3.4
5423,Ballens,2024,579,118,32,20.4,5.5
5763,Valeyres-sous-Rances,2024,578,97,18,16.8,3.1
5530,Pailly,2024,575,81,18,14.1,3.1
5790,Maracon,2024,569,96,20,16.9,3.5
2271,Meyriez,2024,569,136,39,23.9,6.9
5479,Cuarnens,2024,561,90,18,16.0,3.2
5761,Romainmôtier-Envy,2024,560,112,25,20.0,4.5
5429,Longirod,2024,556,105,23,18.9,4.1
5904,Chamblon,2024,554,129,19,23.3,3.4
6624,Gy,2024,553,107,22,19.3,4.0
5654,Vullierens,2024,547,104,21,19.0,3.8
6637,Russin,2024,543,96,28,17.7,5.2
5485,Grancy,2024,538,78,22,14.5,4.1
2045,Vallon,2024,534,77,15,14.4,2.8
5852,Bursinel,2024,532,99,18,18.6,3.4
5472,Bournens,2024,531,73,20,13.7,3.8
5798,Ropraz,2024,530,88,19,16.6,3.6
2008,Châtillon (FR),2024,528,76,10,14.4,1.9
5403,Chessel,2024,527,90,23,17.1,4.4
5830,Villarzel,2024,523,87,21,16.6,4.0
5710,Coinsins,2024,519,107,24,20.6,4.6
5551,Bonvillars,2024,517,114,22,22.1,4.3
5931,Treycovagnes,2024,515,83,21,16.1,4.1
5426,Bougy-Villars,2024,514,114,25,22.2,4.9
5565,Onnens (VD),2024,513,99,24,19.3,4.7
5760,Rances,2024,509,107,23,21.0,4.5
5430,Marchissy,2024,508,82,12,16.1,2.4
5785,Corcelles-le-Jorat,2024,499,94,21,18.8,4.2
5842,Rossinière,2024,499,109,33,21.8,6.6
2035,Nuvilly,2024,498,64,12,12.9,2.4
5493,Orny,2024,497,65,25,13.1,5.0
5491,Mont-la-Ville,2024,496,91,21,18.3,4.2
5813,Chevroux,2024,494,109,21,22.1,4.3
5756,Montcherand,2024,489,75,17,15.3,3.5
5765,Vaulion,2024,488,105,13,21.5,2.7
2130,Crésuz,2024,486,110,29,22.6,6.0
5499,Senarclens,2024,480,84,25,17.5,5.2
5487,Lussery-Villars,2024,470,71,18,15.1,3.8
5819,Henniez,2024,469,59,16,12.6,3.4
5559,Giez,2024,464,86,28,18.5,6.0
5755,Lignerolle,2024,461,85,17,18.4,3.7
5436,Saint-Oyens,2024,457,54,14,11.8,3.1
5645,Romanel-sur-Morges,2024,454,89,26,19.6,5.7
5404,Corbeyrier,2024,452,144,53,31.9,11.7
5437,Saubraz,2024,447,42,9,9.4,2.0
2258,Fräschels,2024,445,91,15,20.4,3.4
2027,Ménières,2024,445,65,13,14.6,2.9
5902,Belmont-sur-Yverdon,2024,445,67,16,15.1,3.6
5555,Corcelles-près-Concise,2024,434,103,33,23.7,7.6
5474,La Chaux (Cossonay),2024,432,87,21,20.1,4.9
5556,Fiez,2024,432,75,18,17.4,4.2
5531,Penthéréaz,2024,430,56,14,13.0,3.3
5851,Allaman,2024,430,75,18,17.4,4.2
5910,Cronay,2024,426,96,19,22.5,4.5
2278,Ulmiz,2024,425,84,17,19.8,4.0
5924,Orges,2024,424,46,12,10.8,2.8
5628,Chigny,2024,420,53,7,12.6,1.7
5566,Provence,2024,409,95,31,23.2,7.6
5752,Croy,2024,403,112,44,27.8,10.9
5854,Burtigny,2024,401,66,16,16.5,4.0
5722,Grens,2024,391,53,21,13.6,5.4
5610,Saint-Saphorin (Lavaux),2024,387,65,13,16.8,3.4
5863,Vinzel,2024,387,67,9,17.3,2.3
5821,Missy,2024,383,75,21,19.6,5.5
5914,Ependes (VD),2024,379,60,19,15.8,5.0
5673,Hermenches,2024,373,75,17,20.1,4.6
5742,Agiez,2024,372,59,9,15.9,2.4
5661,Boulens,2024,368,67,15,18.2,4.1
2067,Le Châtelard,2024,364,70,20,19.2,5.5
